A,B,C,D,E,F
false,false,true,true,true,true
true,true,false,true,true,true
false,false,false,true,false,true
false,false,false,true,false,true
true,true,true,true,false,true
true,false,true,true,true,true
true,true,true,false,true,true
true,true,false,true,true,true
true,true,false,true,true,true
true,true,false,true,true,true
true,true,false,true,true,true
true,true,false,true,true,true
true,true,false,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
true,true,true,true,true,true
